"lagoslakeid","lake_area_ha","lake_perim_meters","iws_zoneid","iws_ha","state_zoneid.x","elevation_m","sampledate","chla","secchi","IntenseUrban.pct","OpenUrban.pct","Barren.pct","Forest.pct","GrassShrub.pct","Wetland.pct","Pasture.pct","RowCrop.pct","LakeIWS.Ratio","DOY","Season","Ecoregion"
64,255.5632799,6969.686,"IWS_29081",672.9508823,"State_14",342.9179993,2012-05-02,11.8,1,6.92,23.25,0,0.51,4.48,10.44,3.83,24.11,0.379765130891188,123,"Early","Western Corn Belt Plains"
72,31.20761134,2190.1644,"IWS_26239",1261.015619,"State_14",291.1679993,2010-04-28,48,0.6,0.51,4.49,0,4.04,2.27,1.51,30.67,54.17,0.0247479974631464,118,"Early","North Central Hardwood Forests"
72,31.20761134,2190.1644,"IWS_26239",1261.015619,"State_14",291.1679993,2011-05-03,100,0.6,0.51,4.49,0,4.04,2.27,1.51,30.67,54.17,0.0247479974631464,123,"Early","North Central Hardwood Forests"
74,246.7419647,9424.6399,"IWS_28758",1548.885175,"State_14",376.3299561,2009-04-29,100,0.3,0.31,3.97,0,1.15,10.09,11.49,1.74,70.4,0.159302941678682,119,"Early","Western Corn Belt Plains"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2010-04-28,41,1.1,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,118,"Early","North Central Hardwood Forests"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2011-04-21,77,0.6,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,111,"Early","North Central Hardwood Forests"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2011-05-03,51,0.7,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,123,"Early","North Central Hardwood Forests"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2009-04-13,93,0.61,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,103,"Early","North Central Hardwood Forests"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2009-04-28,78,0.46,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,118,"Early","North Central Hardwood Forests"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2009-05-13,48,0.91,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,133,"Early","North Central Hardwood Forests"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2012-05-03,14,0.5,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,124,"Early","North Central Hardwood Forests"
84,15.94144971,4134.4734,"IWS_26353",937.7379298,"State_14",275.2610779,2009-05-15,1.1,1.5,10.44,28.68,0,26.2,6.44,0.79,2.4,0.17,0.0169998985893639,135,"Early","North Central Hardwood Forests"
84,15.94144971,4134.4734,"IWS_26353",937.7379298,"State_14",275.2610779,2010-05-07,1.7,2.2,10.44,28.68,0,26.2,6.44,0.79,2.4,0.17,0.0169998985893639,127,"Early","North Central Hardwood Forests"
84,15.94144971,4134.4734,"IWS_26353",937.7379298,"State_14",275.2610779,2011-05-10,8,1.9,10.44,28.68,0,26.2,6.44,0.79,2.4,0.17,0.0169998985893639,130,"Early","North Central Hardwood Forests"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2010-04-28,8.8,1.5,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,118,"Early","North Central Hardwood Forests"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2010-05-14,3.1,2.7,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,134,"Early","North Central Hardwood Forests"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2012-04-20,15,1.1,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,111,"Early","North Central Hardwood Forests"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2012-05-01,2.9,2.1,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,122,"Early","North Central Hardwood Forests"
131,1191.026314,25322.9058,"IWS_21781",7045.00786,"State_14",342.4709778,2010-04-22,20,1.52,0.22,4.71,0.01,14.81,5.24,3.47,14.43,54.21,0.16905961464747,112,"Early","North Central Hardwood Forests"
131,1191.026314,25322.9058,"IWS_21781",7045.00786,"State_14",342.4709778,2010-05-06,13,2.44,0.22,4.71,0.01,14.81,5.24,3.47,14.43,54.21,0.16905961464747,126,"Early","North Central Hardwood Forests"
131,1191.026314,25322.9058,"IWS_21781",7045.00786,"State_14",342.4709778,2012-04-17,14,2.9,0.22,4.71,0.01,14.81,5.24,3.47,14.43,54.21,0.16905961464747,108,"Early","North Central Hardwood Forests"
131,1191.026314,25322.9058,"IWS_21781",7045.00786,"State_14",342.4709778,2012-05-09,4,6.1,0.22,4.71,0.01,14.81,5.24,3.47,14.43,54.21,0.16905961464747,130,"Early","North Central Hardwood Forests"
134,5.009143141,1110.2881,"IWS_21043",284.0925814,"State_14",266.756073,2010-04-25,19,0.8,29.92,26.43,0,2.03,0,4.91,0.44,0,0.017632080064587,115,"Early","North Central Hardwood Forests"
134,5.009143141,1110.2881,"IWS_21043",284.0925814,"State_14",266.756073,2010-05-14,27,0.7,29.92,26.43,0,2.03,0,4.91,0.44,0,0.017632080064587,134,"Early","North Central Hardwood Forests"
