"lagoslakeid","lake_area_ha","lake_perim_meters","iws_zoneid","iws_ha","state_zoneid.x","elevation_m","sampledate","chla","secchi","IntenseUrban.pct","OpenUrban.pct","Barren.pct","Forest.pct","GrassShrub.pct","Wetland.pct","Pasture.pct","RowCrop.pct","LakeIWS.Ratio","DOY","Season","Ecoregion"
72,31.20761134,2190.1644,"IWS_26239",1261.015619,"State_14",291.1679993,2010-10-12,40,0.8,0.51,4.49,0,4.04,2.27,1.51,30.67,54.17,0.0247479974631464,285,"Late","MIXED WOOD PLAINS"
72,31.20761134,2190.1644,"IWS_26239",1261.015619,"State_14",291.1679993,2011-10-05,150,0.3,0.51,4.49,0,4.04,2.27,1.51,30.67,54.17,0.0247479974631464,278,"Late","MIXED WOOD PLAINS"
72,31.20761134,2190.1644,"IWS_26239",1261.015619,"State_14",291.1679993,2011-10-24,33,0.3,0.51,4.49,0,4.04,2.27,1.51,30.67,54.17,0.0247479974631464,297,"Late","MIXED WOOD PLAINS"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2010-10-12,38,1.1,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,285,"Late","MIXED WOOD PLAINS"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2011-10-05,100,0.4,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,278,"Late","MIXED WOOD PLAINS"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2011-10-24,26,0.9,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,297,"Late","MIXED WOOD PLAINS"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2009-10-19,15,1.07,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,292,"Late","MIXED WOOD PLAINS"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2012-10-04,46,0.4,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,278,"Late","MIXED WOOD PLAINS"
75,55.96877128,3245.5434,"IWS_25463",4982.736982,"State_14",278.9509888,2012-10-15,14,0.6,6.11,5.83,0,8.39,3.92,3.03,30.04,37.39,0.0112325357493654,289,"Late","MIXED WOOD PLAINS"
106,603.7290948,21411.1155,"IWS_27833",889.9120854,"State_14",268.8379822,2009-10-05,28.7,1.68,2.3,12.11,0,20.89,3.35,4.86,18.85,24.94,0.678414311598695,278,"Late","MIXED WOOD PLAINS"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2010-10-14,12,1.6,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,287,"Late","MIXED WOOD PLAINS"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2011-10-10,9.3,1.8,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,283,"Late","MIXED WOOD PLAINS"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2011-10-23,7.9,1.8,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,296,"Late","MIXED WOOD PLAINS"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2009-10-14,1.9,2.8,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,287,"Late","MIXED WOOD PLAINS"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2012-10-01,27,1,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,275,"Late","MIXED WOOD PLAINS"
109,38.57411619,3446.0276,"IWS_25929",4436.569803,"State_14",245.4580078,2012-10-16,20,0.9,36.84,25.58,0,3.83,0.36,2.02,0.09,0.21,0.00869458115229389,290,"Late","MIXED WOOD PLAINS"
127,45.95087672,2976.3868,"IWS_11851",717.3502657,"State_14",409.4250183,2011-10-04,3,0.9,0,2.03,0.08,31.27,12.83,39.23,10.96,1.79,0.0640564016173612,277,"Late","MIXED WOOD SHIELD"
131,1191.026314,25322.9058,"IWS_21781",7045.00786,"State_14",342.4709778,2009-10-07,3,3.4,0.22,4.71,0.01,14.81,5.24,3.47,14.43,54.21,0.16905961464747,280,"Late","MIXED WOOD PLAINS"
134,5.009143141,1110.2881,"IWS_21043",284.0925814,"State_14",266.756073,2010-10-17,74,0.6,29.92,26.43,0,2.03,0,4.91,0.44,0,0.017632080064587,290,"Late","MIXED WOOD PLAINS"
134,5.009143141,1110.2881,"IWS_21043",284.0925814,"State_14",266.756073,2011-10-02,17,0.7,29.92,26.43,0,2.03,0,4.91,0.44,0,0.017632080064587,275,"Late","MIXED WOOD PLAINS"
134,5.009143141,1110.2881,"IWS_21043",284.0925814,"State_14",266.756073,2011-10-29,32,0.8,29.92,26.43,0,2.03,0,4.91,0.44,0,0.017632080064587,302,"Late","MIXED WOOD PLAINS"
134,5.009143141,1110.2881,"IWS_21043",284.0925814,"State_14",266.756073,2009-10-11,44,0.8,29.92,26.43,0,2.03,0,4.91,0.44,0,0.017632080064587,284,"Late","MIXED WOOD PLAINS"
134,5.009143141,1110.2881,"IWS_21043",284.0925814,"State_14",266.756073,2012-10-08,54,0.5,29.92,26.43,0,2.03,0,4.91,0.44,0,0.017632080064587,282,"Late","MIXED WOOD PLAINS"
134,5.009143141,1110.2881,"IWS_21043",284.0925814,"State_14",266.756073,2012-10-15,27,0.4,29.92,26.43,0,2.03,0,4.91,0.44,0,0.017632080064587,289,"Late","MIXED WOOD PLAINS"
142,90.96162769,4133.6302,"IWS_27169",68.50952306,"State_14",268.8379822,2009-10-05,28.5,0.91,25.1,14.85,0,18.53,0,1.71,6.18,2.23,1.32772238992726,278,"Late","MIXED WOOD PLAINS"
156,78.30641869,5798.9875,"IWS_26613",1599.226211,"State_14",330.7779846,2010-10-06,48.4,1.2,1.76,6.38,0.39,0.48,0,3.26,0,84.01,0.0489651921356609,279,"Late","TEMPERATE PRAIRIES"
156,78.30641869,5798.9875,"IWS_26613",1599.226211,"State_14",330.7779846,2011-10-24,6.61,2.1,1.76,6.38,0.39,0.48,0,3.26,0,84.01,0.0489651921356609,297,"Late","TEMPERATE PRAIRIES"
156,78.30641869,5798.9875,"IWS_26613",1599.226211,"State_14",330.7779846,2009-10-15,12.1,2.1,1.76,6.38,0.39,0.48,0,3.26,0,84.01,0.0489651921356609,288,"Late","TEMPERATE PRAIRIES"
163,19.84528359,2207.5462,"IWS_21991",36.73005969,"State_14",291.1740112,2009-10-03,1,3.5,0,6.67,0,57.53,11.6,8.89,12.1,0,0.540300880463938,276,"Late","MIXED WOOD PLAINS"
163,19.84528359,2207.5462,"IWS_21991",36.73005969,"State_14",291.1740112,2010-10-03,3.6,3.9,0,6.67,0,57.53,11.6,8.89,12.1,0,0.540300880463938,276,"Late","MIXED WOOD PLAINS"
163,19.84528359,2207.5462,"IWS_21991",36.73005969,"State_14",291.1740112,2009-10-18,1.5,3.5,0,6.67,0,57.53,11.6,8.89,12.1,0,0.540300880463938,291,"Late","MIXED WOOD PLAINS"
163,19.84528359,2207.5462,"IWS_21991",36.73005969,"State_14",291.1740112,2012-10-23,4.4,5.8,0,6.67,0,57.53,11.6,8.89,12.1,0,0.540300880463938,297,"Late","MIXED WOOD PLAINS"
168,43.4043962,3607.95,"IWS_23842",6746.698214,"State_14",388.8460083,2009-10-19,11.8,2.3,0.17,2.1,0.04,49.83,22.71,18.79,5.05,0.31,0.00643342785215026,292,"Late","MIXED WOOD SHIELD"
168,43.4043962,3607.95,"IWS_23842",6746.698214,"State_14",388.8460083,2010-10-12,9,2.7,0.17,2.1,0.04,49.83,22.71,18.79,5.05,0.31,0.00643342785215026,285,"Late","MIXED WOOD SHIELD"
168,43.4043962,3607.95,"IWS_23842",6746.698214,"State_14",388.8460083,2011-10-20,25.2,1.8,0.17,2.1,0.04,49.83,22.71,18.79,5.05,0.31,0.00643342785215026,293,"Late","MIXED WOOD SHIELD"
173,20.33940774,2014.0878,"IWS_21230",463.3930495,"State_14",251.8560028,2010-10-14,5.82,0.6,30.39,15.03,0,0.7,0,0.21,0,0,0.0438923453037247,287,"Late","MIXED WOOD PLAINS"
173,20.33940774,2014.0878,"IWS_21230",463.3930495,"State_14",251.8560028,2011-10-26,47.7,0.5,30.39,15.03,0,0.7,0,0.21,0,0,0.0438923453037247,299,"Late","MIXED WOOD PLAINS"
188,44.61886901,4368.5792,"IWS_19711",182.1335699,"State_14",300.2698669,2012-10-03,67,0.35,1.33,37.39,0,14.68,2.86,0.54,11.38,1.18,0.244978830835512,277,"Late","MIXED WOOD PLAINS"
191,20.73653774,1898.124,"IWS_23561",576.0523076,"State_14",285.0549927,2009-10-05,59,0.6,3.82,15.18,0,33.62,10.37,9.9,9.95,0.25,0.0359976645634741,278,"Late","MIXED WOOD PLAINS"
191,20.73653774,1898.124,"IWS_23561",576.0523076,"State_14",285.0549927,2011-10-03,61,0.6,3.82,15.18,0,33.62,10.37,9.9,9.95,0.25,0.0359976645634741,276,"Late","MIXED WOOD PLAINS"
191,20.73653774,1898.124,"IWS_23561",576.0523076,"State_14",285.0549927,2011-10-17,32,0.75,3.82,15.18,0,33.62,10.37,9.9,9.95,0.25,0.0359976645634741,290,"Late","MIXED WOOD PLAINS"
236,6.966115182,1551.9468,"IWS_23283",40.94916579,"State_14",285.053009,2010-10-03,7.1,2,21.95,49,0,0,0,0,0,0,0.170116168366516,276,"Late","MIXED WOOD PLAINS"
236,6.966115182,1551.9468,"IWS_23283",40.94916579,"State_14",285.053009,2010-10-16,9.3,2,21.95,49,0,0,0,0,0,0,0.170116168366516,289,"Late","MIXED WOOD PLAINS"
236,6.966115182,1551.9468,"IWS_23283",40.94916579,"State_14",285.053009,2011-10-08,13,1.9,21.95,49,0,0,0,0,0,0,0.170116168366516,281,"Late","MIXED WOOD PLAINS"
236,6.966115182,1551.9468,"IWS_23283",40.94916579,"State_14",285.053009,2011-10-23,17,1.7,21.95,49,0,0,0,0,0,0,0.170116168366516,296,"Late","MIXED WOOD PLAINS"
236,6.966115182,1551.9468,"IWS_23283",40.94916579,"State_14",285.053009,2009-10-04,37,0.8,21.95,49,0,0,0,0,0,0,0.170116168366516,277,"Late","MIXED WOOD PLAINS"
236,6.966115182,1551.9468,"IWS_23283",40.94916579,"State_14",285.053009,2009-10-18,15,0.8,21.95,49,0,0,0,0,0,0,0.170116168366516,291,"Late","MIXED WOOD PLAINS"
236,6.966115182,1551.9468,"IWS_23283",40.94916579,"State_14",285.053009,2012-10-03,38,1.1,21.95,49,0,0,0,0,0,0,0.170116168366516,277,"Late","MIXED WOOD PLAINS"
236,6.966115182,1551.9468,"IWS_23283",40.94916579,"State_14",285.053009,2012-10-16,47,1.2,21.95,49,0,0,0,0,0,0,0.170116168366516,290,"Late","MIXED WOOD PLAINS"
240,262.6515543,17929.8618,"IWS_36758",701.7437789,"State_14",458.6369934,2009-10-13,5.49,3.35,0.06,0.81,0,53.99,10.54,31.59,0,0,0.374284122207271,286,"Late","MIXED WOOD SHIELD"
240,262.6515543,17929.8618,"IWS_36758",701.7437789,"State_14",458.6369934,2010-10-12,9.16,3,0.06,0.81,0,53.99,10.54,31.59,0,0,0.374284122207271,285,"Late","MIXED WOOD SHIELD"
240,262.6515543,17929.8618,"IWS_36758",701.7437789,"State_14",458.6369934,2011-10-14,4.6,2.6,0.06,0.81,0,53.99,10.54,31.59,0,0,0.374284122207271,287,"Late","MIXED WOOD SHIELD"
256,14.32314176,1536.0735,"IWS_28366",338.1140907,"State_14",268.8379822,2011-10-16,4.6,2.6,0.43,6.91,0.9,25.6,8.64,9.41,32.86,12.55,0.0423618599578228,289,"Late","MIXED WOOD PLAINS"
256,14.32314176,1536.0735,"IWS_28366",338.1140907,"State_14",268.8379822,2009-10-04,5.4,1.5,0.43,6.91,0.9,25.6,8.64,9.41,32.86,12.55,0.0423618599578228,277,"Late","MIXED WOOD PLAINS"
260,1274.546815,52816.5091,"IWS_36284",6933.989475,"State_14",422.3340149,2009-10-13,3.52,1.7,0.58,2.68,0.01,37.58,15.31,41.86,0.06,0,0.183811472399156,286,"Late","MIXED WOOD SHIELD"
260,1274.546815,52816.5091,"IWS_36284",6933.989475,"State_14",422.3340149,2010-10-12,2.85,2.6,0.58,2.68,0.01,37.58,15.31,41.86,0.06,0,0.183811472399156,285,"Late","MIXED WOOD SHIELD"
260,1274.546815,52816.5091,"IWS_36284",6933.989475,"State_14",422.3340149,2011-10-14,4.04,1.5,0.58,2.68,0.01,37.58,15.31,41.86,0.06,0,0.183811472399156,287,"Late","MIXED WOOD SHIELD"
307,19.15190193,1663.9878,"IWS_26820",885.5357088,"State_14",285.0679932,2010-10-11,140,0.4,4.87,5.71,0,3.43,0.48,2.04,21.44,54.84,0.0216274755943529,284,"Late","MIXED WOOD PLAINS"
307,19.15190193,1663.9878,"IWS_26820",885.5357088,"State_14",285.0679932,2011-10-08,98,0.3,4.87,5.71,0,3.43,0.48,2.04,21.44,54.84,0.0216274755943529,281,"Late","MIXED WOOD PLAINS"
307,19.15190193,1663.9878,"IWS_26820",885.5357088,"State_14",285.0679932,2011-10-21,34,0.7,4.87,5.71,0,3.43,0.48,2.04,21.44,54.84,0.0216274755943529,294,"Late","MIXED WOOD PLAINS"
307,19.15190193,1663.9878,"IWS_26820",885.5357088,"State_14",285.0679932,2009-10-04,64,0.5,4.87,5.71,0,3.43,0.48,2.04,21.44,54.84,0.0216274755943529,277,"Late","MIXED WOOD PLAINS"
307,19.15190193,1663.9878,"IWS_26820",885.5357088,"State_14",285.0679932,2009-10-16,28,0.9,4.87,5.71,0,3.43,0.48,2.04,21.44,54.84,0.0216274755943529,289,"Late","MIXED WOOD PLAINS"
307,19.15190193,1663.9878,"IWS_26820",885.5357088,"State_14",285.0679932,2012-10-08,37,0.25,4.87,5.71,0,3.43,0.48,2.04,21.44,54.84,0.0216274755943529,282,"Late","MIXED WOOD PLAINS"
307,19.15190193,1663.9878,"IWS_26820",885.5357088,"State_14",285.0679932,2012-10-21,80,0.2,4.87,5.71,0,3.43,0.48,2.04,21.44,54.84,0.0216274755943529,295,"Late","MIXED WOOD PLAINS"
356,26.1881256,2660.3335,"IWS_21942",171.5595104,"State_14",266.7530212,2012-10-15,11,1.6,34.68,25.8,0,0,0,0,0,0,0.152647472232469,289,"Late","MIXED WOOD PLAINS"
407,309.4075844,18056.6715,"IWS_27058",1115.746835,"State_14",271.9389954,2009-10-07,27.2,0.61,1.94,7.51,0,15.33,2.68,6.36,34.95,24.74,0.27730984726477,280,"Late","MIXED WOOD PLAINS"
413,119.9508708,5392.858,"IWS_26116",471.2905127,"State_14",424.1090088,2009-11-05,24.1,2.3,0,6.74,0,1.68,4.05,2.46,4.37,79.19,0.254515776506528,309,"Late","TEMPERATE PRAIRIES"
425,265.7766123,11498.2379,"IWS_23067",1485.972004,"State_14",388.8460083,2009-10-19,21.7,2.5,0.8,5.49,0,53.95,11.34,13.63,10.65,0.22,0.178857079127044,292,"Late","MIXED WOOD SHIELD"
425,265.7766123,11498.2379,"IWS_23067",1485.972004,"State_14",388.8460083,2010-10-12,7.27,2.4,0.8,5.49,0,53.95,11.34,13.63,10.65,0.22,0.178857079127044,285,"Late","MIXED WOOD SHIELD"
425,265.7766123,11498.2379,"IWS_23067",1485.972004,"State_14",388.8460083,2011-10-20,29.8,1.7,0.8,5.49,0,53.95,11.34,13.63,10.65,0.22,0.178857079127044,293,"Late","MIXED WOOD SHIELD"
429,208.98978,16845.1207,"IWS_34271",330.505717,"State_14",413.2131653,2010-10-08,23,1.52,0,11.92,0,30.13,7.95,1.63,23.79,17.83,0.632333328140281,281,"Late","MIXED WOOD PLAINS"
440,141.835948,5039.3055,"IWS_24799",40398.75904,"State_14",293.348999,2009-10-13,11.3,1.22,1.59,3.93,0.03,11.45,2.8,7,28.17,42.97,0.00351089863576166,286,"Late","MIXED WOOD PLAINS"
440,141.835948,5039.3055,"IWS_24799",40398.75904,"State_14",293.348999,2011-10-04,31.8,0.9,1.59,3.93,0.03,11.45,2.8,7,28.17,42.97,0.00351089863576166,277,"Late","MIXED WOOD PLAINS"
440,141.835948,5039.3055,"IWS_24799",40398.75904,"State_14",293.348999,2012-10-02,18.1,0.5,1.59,3.93,0.03,11.45,2.8,7,28.17,42.97,0.00351089863576166,276,"Late","MIXED WOOD PLAINS"
442,109.3794774,8194.4099,"IWS_28455",814.4077743,"State_14",269.75,2010-10-11,1.7,5.5,1.28,13.51,0,17.71,8.09,2.25,30.77,17.83,0.134305541832547,284,"Late","MIXED WOOD PLAINS"
442,109.3794774,8194.4099,"IWS_28455",814.4077743,"State_14",269.75,2011-10-24,4.2,4.6,1.28,13.51,0,17.71,8.09,2.25,30.77,17.83,0.134305541832547,297,"Late","MIXED WOOD PLAINS"
442,109.3794774,8194.4099,"IWS_28455",814.4077743,"State_14",269.75,2012-10-21,2.4,4.2,1.28,13.51,0,17.71,8.09,2.25,30.77,17.83,0.134305541832547,295,"Late","MIXED WOOD PLAINS"
474,393.060859,11244.4721,"IWS_26154",1711.129206,"State_14",541.5930176,2009-10-13,4.11,2,0.08,5.73,0,0.5,25.96,3.29,14.38,48.46,0.229708462471302,286,"Late","TEMPERATE PRAIRIES"
474,393.060859,11244.4721,"IWS_26154",1711.129206,"State_14",541.5930176,2010-10-04,7.97,1,0.08,5.73,0,0.5,25.96,3.29,14.38,48.46,0.229708462471302,277,"Late","TEMPERATE PRAIRIES"
491,154.900956,12216.0169,"IWS_28611",265.694763,"State_14",310.0329895,2009-10-14,16.5,1.1,0.91,7.51,0,10.35,2.26,1.01,23.98,36.39,0.583003421862703,287,"Late","MIXED WOOD PLAINS"
491,154.900956,12216.0169,"IWS_28611",265.694763,"State_14",310.0329895,2010-10-06,56.9,1,0.91,7.51,0,10.35,2.26,1.01,23.98,36.39,0.583003421862703,279,"Late","MIXED WOOD PLAINS"
507,104.9305982,3920.8187,"IWS_28676",711.8887106,"State_14",313.0799866,2009-10-12,2.5,6.5,0.2,4.68,0,4.28,2.02,3.68,13.5,69.06,0.147397474686123,285,"Late","MIXED WOOD PLAINS"
507,104.9305982,3920.8187,"IWS_28676",711.8887106,"State_14",313.0799866,2010-10-06,24.1,1.85,0.2,4.68,0,4.28,2.02,3.68,13.5,69.06,0.147397474686123,279,"Late","MIXED WOOD PLAINS"
507,104.9305982,3920.8187,"IWS_28676",711.8887106,"State_14",313.0799866,2010-10-21,32.9,1.5,0.2,4.68,0,4.28,2.02,3.68,13.5,69.06,0.147397474686123,294,"Late","MIXED WOOD PLAINS"
531,676.2589453,24298.9971,"IWS_28210",1122.337949,"State_14",283.8339844,2010-10-18,20,3.66,0.34,7.06,0,40.35,7.68,7.02,21.07,10.69,0.60254484480592,291,"Late","MIXED WOOD PLAINS"
531,676.2589453,24298.9971,"IWS_28210",1122.337949,"State_14",283.8339844,2011-10-21,5,3.8,0.34,7.06,0,40.35,7.68,7.02,21.07,10.69,0.60254484480592,294,"Late","MIXED WOOD PLAINS"
531,676.2589453,24298.9971,"IWS_28210",1122.337949,"State_14",283.8339844,2011-10-24,9.6,1.8,0.34,7.06,0,40.35,7.68,7.02,21.07,10.69,0.60254484480592,297,"Late","MIXED WOOD PLAINS"
531,676.2589453,24298.9971,"IWS_28210",1122.337949,"State_14",283.8339844,2009-10-14,4.3,3.4,0.34,7.06,0,40.35,7.68,7.02,21.07,10.69,0.60254484480592,287,"Late","MIXED WOOD PLAINS"
533,237.6788841,8067.877,"IWS_26002",3895.005896,"State_14",278.946991,2010-10-09,20,1.2,0.94,6.1,0,8.21,3.34,6.34,31.54,38.53,0.0610214439839708,282,"Late","MIXED WOOD PLAINS"
533,237.6788841,8067.877,"IWS_26002",3895.005896,"State_14",278.946991,2010-10-12,19.6,1.27,0.94,6.1,0,8.21,3.34,6.34,31.54,38.53,0.0610214439839708,285,"Late","MIXED WOOD PLAINS"
533,237.6788841,8067.877,"IWS_26002",3895.005896,"State_14",278.946991,2011-10-25,18,2.38,0.94,6.1,0,8.21,3.34,6.34,31.54,38.53,0.0610214439839708,298,"Late","MIXED WOOD PLAINS"
533,237.6788841,8067.877,"IWS_26002",3895.005896,"State_14",278.946991,2009-10-13,34,1.2,0.94,6.1,0,8.21,3.34,6.34,31.54,38.53,0.0610214439839708,286,"Late","MIXED WOOD PLAINS"
